subawardee_uei,subawardee_name,entity_url,company_linkedin_url
K74VFQ96PKR3,"GLOBAL AUTOMOTIVE, INC.",http://www.gawdc.com,https://linkedin.com/company/global-automotive-inc.
K75RLDJJKZK5,TRANSFORM HEALTH LLC,www.transformhc.com,https://linkedin.com/company/transform-health-consulting
K76GCQ7DK664,BRETCO LLC,http://www.bretco.com,https://linkedin.com/company/bretco-inc-
K783PK4DZEE3,"ADVANTEC MANUFACTURING USA, INC.",http://www.advantecmarine.com,https://linkedin.com/company/advantecmarine
K78JMMAYPQ55,TELAIR US LLC,uscargosystems.com,https://linkedin.com/company/us-cargo-systems
K78QCKYY8P87,ROWE PROFESSIONAL SERVICES CO,http://www.rowepsc.com,https://linkedin.com/company/rowe-professional-services-company
K7AUKRR4Z8J5,"TVC COMMUNICATIONS, L.L.C.",WWW.WESCO.COM,https://linkedin.com/company/wesco.corp
K7DLQN4UFGV5,STS GLOBAL USA CORP,www.sts-global.com,https://linkedin.com/company/sts-global-usa-corporation
K7F2J2K5V4F7,"KUTTA TECHNOLOGIES, LLC",http://www.kuttatech.com,https://linkedin.com/company/kutta-technologies-inc.
K7GFWD54VDP7,BGA TECHNOLOGY LLC,http://www.bgatechnology.com,https://linkedin.com/company/bga-test-and-technology
K7GPEJKULT75,"PETERSON CONTRACTORS, INC.",www.petersoncontractors.com,https://linkedin.com/company/peterson-contractors-inc
K7HJDGFAMYG6,"NSL ANALYTICAL SERVICES, INC",http://www.nslanalytical.com,https://linkedin.com/company/nsl-analytical-services
K7HVWEPMMNL3,MFGS INC,https://www.mfgsinc.com,https://linkedin.com/company/mfgs-inc
K7J5DEM9LTY6,"CONNECTICUT TRAILERS, INC.",https://www.cttrailers.com,https://linkedin.com/company/connecticut-trailers
K7JAQLNKAQK3,"SMFS, INC.",www.grimmcyber.com,
K7JMRHSE4679,TOTEX MANUFACTURING INC.,www.totexmfg.com,https://linkedin.com/company/totex-manufacturing-inc
K7K8JKK4H5J7,"ANTHONY LEE ASSOCIATES, INC.",http://www.anthony-lee.com,https://linkedin.com/company/anthony-lee-associates-inc
K7KUL94MZN26,"WEST COAST SAND AND GRAVEL, INC",http://www.wcsg.com,https://linkedin.com/company/west-coast-sand-&-gravel
K7L3FAFL96K9,"ADVANTAGE MANUFACTURING OF COLORADO SPRINGS, LLC",http://www.admancos.com,https://linkedin.com/company/advantage-manufacturing-of-colorado-springs
K7LUUQKYNVH3,SOUTHWEST SOLUTIONS GROUP INC,www.southwestsolutions.com,https://linkedin.com/company/southwest-solutions-group
K7NLYVNRH2B5,"SELECTPATH HOLDING, INC",http://www.contactwireless.com,https://linkedin.com/company/contact-wireless
K7NNY5B91ZQ3,"PRECISION DOORS & HARDWARE, LLC",www.cookandboardman.com,https://linkedin.com/company/cookandboardman
K7NSLGM22EE3,ZYGO CORPORATION,http://www.zygo.com,https://linkedin.com/company/zygo-corporation
K7NTNUMRDFQ9,"L3HARRIS FORCEX, INC.",https://www.l3harris.com/,https://linkedin.com/company/l3harris-technologies
K7QWMTNE77W4,BRIGHTON CROMWELL LLC,http://www.brightoncromwell.com,https://linkedin.com/company/brighton-cromwell-llc
K7RJF6LCGQD6,"NAKOMA PRODUCTS, LLC",http://www.nakomaproducts.com,
K7S7JG9BNR11,"SALEM TUBE, INC.",www.salemtube.com,https://linkedin.com/company/salem-tube-inc-
K7SMK1YGK617,OFFICEIMAGES INC,http://www.officeimagesinc.com,https://linkedin.com/company/office-images
K7TNJMC9MB73,"HEIDELBERG ENGINEERING, INC.",http://www.heidelbergengineering.com,https://linkedin.com/company/heidelberg-engineering
K7U4K35DBUM4,"PLANET TECHNOLOGIES, INC.",https://go-planet.com,https://linkedin.com/company/planet-technologies
